20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11483667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(532) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11483670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(530) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(532) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11483674 |[UPDATE][pNIC3] pNIC_Latency(531) 

20161122:11483677 |[UPDATE][pNIC4] pNIC_Latency(531) 

20161122:11483677 |[UPDATE][pNIC4] pNIC_Latency(530) 

20161122:11483677 |[UPDATE][pNIC4] pNIC_Latency(533) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(533) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(532) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(531) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11493667 |[UPDATE][pNIC1] pNIC_Latency(530) 

20161122:11493670 |[UPDATE][pNIC2] pNIC_Latency(531) 

20161122:11493670 |[UPDATE][pNIC2] pNIC_Latency(530) 

20161122:11493670 |[UPDATE][pNIC2] pNIC_Latency(533) 

